,bigger_patch_size,smaller_patch_size,threshold,epoch,train_accuracy,val_accuracy
"0,""(32, 32)"",""(8, 8)"",150,0,0.2411764705882353,0.47058823529411764"
"1,""(32, 32)"",""(8, 8)"",150,1,0.6019607843137255,0.5068627450980392"
"2,""(32, 32)"",""(8, 8)"",150,2,0.7088235294117647,0.6039215686274509"
"3,""(32, 32)"",""(8, 8)"",150,3,0.7568627450980392,0.5813725490196079"
"4,""(32, 32)"",""(8, 8)"",175,0,0.25980392156862747,0.47549019607843135"
"5,""(32, 32)"",""(8, 8)"",175,1,0.6019607843137255,0.5862745098039216"
"6,""(32, 32)"",""(8, 8)"",175,2,0.7029411764705882,0.5892156862745098"
"7,""(32, 32)"",""(8, 8)"",175,3,0.7480392156862745,0.6"
"8,""(32, 32)"",""(8, 8)"",200,0,0.2411764705882353,0.492156862745098"
"9,""(32, 32)"",""(8, 8)"",200,1,0.615686274509804,0.542156862745098"
"10,""(32, 32)"",""(8, 8)"",200,2,0.6843137254901961,0.5833333333333334"
"11,""(32, 32)"",""(8, 8)"",200,3,0.7705882352941177,0.6294117647058823"
"12,""(32, 32)"",""(16, 16)"",150,0,0.25098039215686274,0.47549019607843135"
"13,""(32, 32)"",""(16, 16)"",150,1,0.6323529411764706,0.5696078431372549"
"14,""(32, 32)"",""(16, 16)"",150,2,0.7323529411764705,0.5852941176470589"
"15,""(32, 32)"",""(16, 16)"",150,3,0.7745098039215687,0.6245098039215686"
"16,""(32, 32)"",""(16, 16)"",175,0,0.25098039215686274,0.49117647058823527"
"17,""(32, 32)"",""(16, 16)"",175,1,0.6372549019607843,0.5598039215686275"
"18,""(32, 32)"",""(16, 16)"",175,2,0.7245098039215686,0.5970588235294118"
"19,""(32, 32)"",""(16, 16)"",175,3,0.7852941176470588,0.6441176470588236"
"20,""(32, 32)"",""(16, 16)"",200,0,0.21568627450980393,0.44509803921568625"
"21,""(32, 32)"",""(16, 16)"",200,1,0.5970588235294118,0.5735294117647058"
"22,""(32, 32)"",""(16, 16)"",200,2,0.6970588235294117,0.6137254901960785"
"23,""(32, 32)"",""(16, 16)"",200,3,0.7627450980392156,0.611764705882353"
